,Product,Consumer complaint narrative
311038,Credit reporting,I have worked for the same company for 20 years and it is n't showing up on my credit report.
134159,Student loan,I refinanced a student loan and the amount paid to the old lender I used was more than the balance I owed. I called and ask about a refund and was told that I would receive a check. Two weeks later I called and no check had been issued but they promised that it would be made the following Monday and mailed to me. I asked why it took so long for them to issue a refund and could not get a response from the customer service person or the supervisor.
724034,Debt collection,"Santander Bank has called over 30 times, even after I called them. The number calling me is XXXX..My phone is XXXX,,"
238076,Mortgage,"Litton loan filed XXXX for closures with false documents, charged me fees that were subject to HUD section 8 violations, failed to apply payments in a timely manor, and charged fees for late payments, in spite of receiving certified bank checks, sent registered mail, and mis applied payments, falseified my credit history and payment history, filed fraudulent legal documents that were later to found forged"
505443,Mortgage,"COMPLAINT # XXXXAfter request for help from XXXX CFPB sent XXXX notice of complaint as per CFPB letter dated XX/XX/XXXX. I have been working with XXXX to settle with Franklin Credit Management XXXX XXXX Lien Holder ) so that a Deed-In-Lieu can be accepted on my property at XXXX XXXX XXXX XXXX, NC XXXX. 

XX/XX/XXXX - XXXX informs me that on XX/XX/XXXX they sent a fax to Franklin Credit an offer to settle. Today I called XXXX credit to verify that they had received the offer and they claim that no offer has been received. Fax number sent was XXXX. I requested that XXXX send another fax with the offer to Fax # XXXX XXXX - XXXX ( Franklin Credit XXXX. 
Foreclosure hearing is on the XX/XX/XXXX. This will be the 4th Court Hearing! 
Both, XXXX and Franklin Credit call me almost daily, even today. I have given them all the information they requested to do a Deed-In-Lieu. Unfortunately, Franklin Credit does not seem to cooperate with XXXX and resolve the settlement so that there will be a clear title. 

This new complaint is directed in reference to Franklin Credit Management. The record should show XXXX recorded conversations ) well over 100 conversations concerning my account and no resolution in site. 

I ask that CFPB send a letter to Franklin Credit to work out a settlement so that a Deed-In-Lieu can proceed. 

Information on the account with Franklin Credit Management is as follows : Account XXXXFranklin Credit Management CorporationXXXX XXXX NJ XXXX XXXX have been trying to settle with Franklin since XX/XX/XXXX. The customer service is absolutely unacceptable. Last 3 way conversation with Franklin Credit, XXXX, and I this month, should have cleared any obstacles yet it has not! Someone is not telling the truth and I am to the point where I have no choice but to walk away. My personal finances are in a critical status and I do not know what to do. 

Your cooperation is urgently requested. 

Thank you, XXXX XXXX XXXX XXXX XXXX, XXXX"
212006,Credit reporting,my bankruptcy was closed and filed XXXX and has been removed from all other credit bureaus expect equifax who is reporting it as active I would like to have it removed from that credit bureau as well
776854,Bank account or service,"I was cheated by BB & T and the BBB could not handle the case and I am asking your help. 
My XXXX savings account was from XXXX opened in 1996. The bank was taken over by BB & T. I decided to let go of my high pay job and went to School. I wanted to close my savings account and I had plenty of Money in the checking account. The teller told me not to close it because if I had sufficient fund in the checking account there will not be any fees. I did not have that in writing, because I was banking with BB & T for many years. After XXXX months I found out that there is a monthly service charge of {$7.00} on a dormant account. I questioned the charges and they refuse to refund the money. When I went to close the account, they asked me to bring lots of ID to reactivate the account in person. Later I got a mail notice saying my account is active and please call to deactivate the account. I asked the manager saying if I was dead, would the money be depleted through service charges without letting my relatives know about the account and she said yes. She could not find any means to refund the money. I contacted XXXX, and their complain office for BB & T is in North Carolina, the same office of the BB & T head quarters. They did not intervene on my case, but acted as a medium for communication. When I tried to contact XXXX by writing I did not get any response. So please help. I have all documents and proofs. BB & T only refunded XXXX of the service charges and refused to refund the other half. 
Few things : If a customer dies, there is no written notice to the client or relatives regarding the balance in the bank. 
Second, The meaning of "" BANK '' for savings is no longer applicable in BB & T because their business practices does not allow written notification regarding dormant accounts. 
Third the term "" dormant '' is unfairly XXXX way. I can not as an account holder withdraw the money without ID, but the bank can enjoy deducting money till it is empty. When I went to activate it. they need all the ID and they wanted me in person. 
Please help."
555872,Credit reporting,"I submitted a complaint via certified mail to Equifax more than one year ago. My Equifax credit report shows the dispute and says it is under investigation. Under the Fair Credit Reporting Act, Equifax had up to 45 days to resolve this dispute. They have yet to update the debt which is hurting my credit."
45899,Mortgage,"I have been going back and forth with Bank Of America trying to get a modification on my loan they purchased from another bank. 
I am not going to provide too much of my personal information due to he fact that I am uncertain of the security of this site. I have been telling Bank of America that my interest rate is 8 % which is way too high. I have had my mortgage for about 10 years and only {$300.00} is going to the principle of the mortgage to pay it off. I paid over {$25000.00} in interest alone to BanK of America. If this bank received bailout money from the government why is it so hard for them to work with homeowners. I have been receiving letters from them asking me to just have a shot sale and move. I have never been late on my mortgage in all the nine years I have had this house. It 's only recent that I have been have trouble with paying the mortgage and I would n't be asking for help if I did n't need it. It really is starting to cause health issues when dealing with these representatives who work for Bank of America. They sound like robots as if they are reading from a script and they are repeating themselves. Example : I made a late payment, but was still trying to get approved for the modification. The representative made a statement to me, "" Well, XXXX I see that your mortgage is current so there is no need to continue the process for the mortgage loan modification ''. I was puzzled and really got upset because she is suppose to be my relationship manager XXXX. She do n't really understand nor can she speak english. It 's almost like she is really not helpful with the fact that we have a language misunderstanding. She does n't work in my best interest. I have done through this for over a year and half and recent got denied yet again. I need help and hope that their is something that can be done to lower my interest rate and mortgage payment. I barely can afford to feed my family because of the fact that we are struggling."
162522,Debt collection,"I was billed XXXX for a XXXX I had back in XXXX. This debt was eventually included in a bankruptcy filed in XXXX. This debt was included in my bankruptcy, and Jason Craig & Associates was notified. They continued to try and collect this debt despite this fact. Today is XXXX XXXX XXXX, and this collection agency has sent a letter to me at my new address threatening to submit this old debt to the credit bureaus. Writing them has clearly done no good. Please make them cease and desist."
655038,Payday loan,"I borrowed a XXXX from Rise and I had planned on paying it back sooner than I did and I did pay them off, however I had missed a few payments with no charge off. The minute I paid them off they charged me off and will not update my credit that the loan is paid off. I had another collector call regarding the matter and I sent them the copy of proof of payment so that was the end of them calling. However RISE WILL NOT UPDATE MY PAYMENT OR DELETE THE CHARGE OFF WHICH WAS DONE AFTER PAYMENT WAS MADE."
135649,Bank account or service,"I opened a new account XX/XX/2016 on a Saturday with Bank of America. The account representative used misinformation to fraudulently and deceptively sale me the idea of opening the account that day. At the time of the {$10000.00} deposit I inquired about the availability of the funds then asked if there would be ANY funds made available. She told me not to worry because {$200.00} would be made available to me that same day after I mentioned that I needed to pay a credit card bill and provide an earnest down payment to a personal seller of a vehicle that I desired to purchase. The arrangement for a small cash payment would be a security deposit while the remainder of the funds cleared. I told the account representative who opened the account that I would just open the account at XXXX XXXX if there would be an issue with providing at least {$200.00} that same day. She again told me not to worry then escorted me to the teller to complete the processing activation of the temporary debit card. The teller then restated that the {$200.00} would be made available the same day on XXXX XXXX that Saturday. To my shocking surprise, I was not able to make a withdrawal until the following Tuesday XXXX XXXX. Unacceptable. I doubt Bank of America makes it a point to train employees to blatantly lie in order to open new accounts with {$10000.00} check deposits. 

I suffered an XXXX due to the fraudulent and deceptive unfair trade practice. I have a XXXX of XXXX & XXXX XXXX XXXX. My symptoms were aggravated as a result of the misinformation causing personal injury."
437795,Credit reporting,"I have had numerous issues with equifax. They continuiously add a derogatory mark "" medical bill, '' that has been taken off at least twice in the past 4 years. This will make the third time. Hopefully, going through you guys can remedy this situation. Im not sure who is to blame, the company that keeps reporting or equifax. I thought this had been solved, has n't been on report for well over a year. Please help me with this."
715542,Debt collection,I have been paying on a debt that Portfolio Recovery said that I owed I have asked for confirmation of the debt. I have been paying for 8 months and they have still not provided me with proof of the debt. I know XXXX credit card only had a credit limit of XXXX and by the time I finish paying for the 12 months I will have paid more. I live on a limited income and this month it will be hard to pay and they threaten to make me pay more. They are also trying to collect on a XXXX card which they again have not sent proof. I have been holding up to my agreement and they have not held up their part by sending proof. They have only harassed me and threaten legal action. XXXX credit card is for XXXX which I have been paying last 8 months and only had a credit limit of XXXX. The other card is a XXXX XXXX which I have been paying {$150.00} a month for by the time I am done will be almost {$2000.00}. Then they are saying there is another XXXX XXXX credit card which they are saying is around {$3000.00} I never had a card with that big of a limit. None of these cards have they sent me any proof of what is owed and paying this is becoming financially difficult and I believe I should have proof.
267519,Consumer Loan,"I am a XXXX on a fixed income. I have just enough income each month to pay my bills and to feed and provide shelter for me. If I have extra expenses in one month, it puts me behind financially and this is what happened in this situation..I have a loan with Honda Financial. 
I have paid {$380.00} a month, without interruption, to Honda since XXXX, until a month or so ago, when it changed to {$400.00}, using the extra {$17.00} to pay off late fees that had accrued and for which your agency helped me to finally stop accruing. All because Honda would not change my payment date. 
In early XXXX XXXX, I had some extraordinarily large bills to pay. Car registration, and other car repairs that had to be done i.e. replace an old battery, as well as one-time medical bills.I tried to borrow money but I was not able to do do that. In any event if I borrow money it makes things worse, because I go further into a financial hole and can not pay it back.So now I owe {$400.00} for XXXX XXXX which I just do not have the money to pay. I just made a {$400.00} payment to Honda, which is all I could send, and it was applied to XXXX XXXX. Now, I am getting calls twice a day about the XXXX payment. I also received a very disturbing, threatening letter from a XXXX XXXX, ( XXXX ) XXXX of Honda telling me that Honda Financial will use every resource under the law to get that payment, including re-possessing my car. I have tried to remonstrate with Honda Financial, to have them understand that I am a responsible consumer who wants to pay her bills on time every month as I have done 5 years. I 've had a run of high expenses that have to be paid, I have not used the money for unnecessary frivolities.And yes, I yearn to be able to save money each month to cover emergencies such as I have just had, but I just do n't have the income to be able to do that. Can you please contact Honda and see if there can be a solution to this impasse between Honda Financial and me? I believe they think I 'm not terribly intelligent, and perhaps might be doing this on purpose. I 've had a run of bad luck, but now I would like to continue paying my monthly payment every month for the approximately 15 months I have left to pay off the loan. 
Sincerely, XXXX XXXX."
109755,Mortgage,"Do want to thank the CFPB for providing a forum to address Mortgage fraud. In my case JPMorgan Chase and XXXX XXXX as the CEO. JPMorgan Chase was and is the judge and jury in this case of downright fraud. They gave me a verbal mortgage ( their written word ) and decided after the first payment that they would no longer accept anymore payments. Dealing with over XXXX of their representatives - who were working under the direction of JP Morgan Chase with an incentive to foreclose on homes ( still waiting for XXXX XXXX to confirm ). No amount of forms filled out and sent by every conceivable method would ever arrive intact for this company. The stress, the torture that I went through is unbelievable. The answer was always the same - your file is empty, nothing in the file - who gave you the mortgage, who told you your home is in foreclosure, we have no idea what you are talking about. In the meantime bills that I was not allowed to pay was being wracked up by this dishonest institution. They finally had to agree recently that the claim of sending XXXX inspectors to our home was a mistake. I never saw one. No one ever rang the doorbell. Absolutely dishonest financial institution and as they say 'A fish stinks from the head down '. Now I am constantly on a 'merry-go-round '' of papers with them. Each week I can guarantee that they will send another form telling me that they are "" Researching '' and will get back to me. Researching what. You had nothing in the file to begin with, unless you are trying to find ways to lie. What is there to research after all this time and fooling the CFPB about 'partial response '. A morass of corruption if ever I see one. At this time, I am taking my frustrations to the next level..Let me and XXXX XXXX take our case to the American Consumer. Let them continue with the useless 'researching and asking for extension ' routine. So thank you CFPB for providing a platform, however this is going nowhere and JPMorgan Chase has this figured out. In every instance of corporations and countries having a XXXX moment ' it is usually done by one individual. Well, I will make sure that 'Too Big to Fail '' JPMorgan Chase has its day of reckoning and hope to one day see the CEO XXXX XXXX doing the 'perp walk '. It is about time. There are many politicians out there in this competitive election year who would definitely like to put a face to the mortgage mess created by dishonest institutions like JPMorgan Chase while taking government bailout. Thanks again to CFPB but dishonest institutions like JPMorgan Chase feel secure in knowledge that they can fool you and everyone with useless extensions."
55756,Mortgage,"We are victims of dual tracking while in-review. 
Submitted a completed package, in letter dated XXXX XXXX from BB & T and received XX/XX/XXXX by mail, BB & T asked for updated financials and an additional piece of information - a letter of income contribution from wife of income shown in bank statements in package to be submitted in XXXX days. On XX/XX/XXXX BB & T sent a motion to the court asking to schedule a foreclosure sale. See a copy of the court docket showing a motion sent to the judge asking to schedule a sales date."
139738,Mortgage,"Breach of Contract 1. I was approved for a HAMP Tier 1 Home Loan Modification back in XXXX XXXX, I followed all instructions as given to me. I signed and returned via fax the modification agreement that was supposed to be finalized. Ocwen did not fulfill their obligation under this agreement and I was rejected from the program due to no fault of my own. 
2. Ocwen alleges that they sent notification to me via certified mail but I did not receive the correspondence. The letter was notification that they needed proof that my home address was in fact my primary residence. 
3. I received a copy of this letter from Ocwen only in response to my initial "" letter of complaint '' to the Georgia Office of the Attorney General 's office back in XXXX XXXX. The letter did have a United States Postal Service tracking number as reference of their attempt to deliver said notice. 
4. I tried to use the tracking number to see what results I would get and due to the lapse in time my results were limited. I contacted my local Post Office that would have made the attempt to deliver this notice and discovered some shocking results. 
5. Ocwen sent the letter from themselves to themselves therefore never being delivered to me. I have enclosed a copy of the letter as well as the tracking results I received from my local post office. This action by Ocwen is what has caused me to be rejected from the HAMP Tier 1 Home Loan Modification Program not any actions by me. Now Ocwen is once again attempting to foreclose on my property and the sale date is scheduled for XXXX XXXX, XXXX."
442951,Credit card,"Approximately 3 years ago, I opened a Sears Citi MasterCard at the urging of a store clerk but the card was closed about a year later ( over 2 years ago ). After the cIosure, I spoke with a Sears customer service representative who encouraged me to sign up for auto-pay to pay off the balance. I was told that the payments would go to the balance until it was paid off. Knowing that I had a substantial balance on the card, I just kept making the payments for over two years. This XX/XX/XXXX I decided to call the company on XX/XX/2017 and inquire about my balance because I had no online access to look at the balance. To my shock, I was told that the balance had not changed one bit! I was told that all the payments which totaled thousands of dollars had gone to paying the interest and XXXX, which was NEVER disclosed to me. Apparently, every month, XXXX was getting part of the payment made. When I began disputing this, the Sears rep removed XXXX and transferred me to an XXXX rep. I was then told that they would need 30 days to investigate. Thirty days passed so I called back and was told that they would need another 30 days. I wrote a letter to XXXX on XX/XX/2017 because I was told that there was no other way to reach anyone in that department and that they make the decisions. I have yet to receive any response from either XXXX or Sears. Sears has taken no responsibility and XXXX obviously does not care. Sears continues to force me to make payments for a balance that should have been paid off or close to being paid off and tell me that if I do n't make the payments, my credit would show that I am behind. As the only one working in my family, I can not afford to spend another couple of thousand dollars paying on this card. Sears and XXXX are literally taking food out of the mouths of my family members and they do n't care!"
406158,Credit reporting,I was part of the Trans Union glitch and I would like all the inquires removed from my credit report. I mailed the a letter but got no response.
126159,Debt collection,"Continuous calling throughout the day, called my employer 's cell and work phone and continued to call after I asked not to call."
661216,Debt collection,"Johnson Mark XXXX is attempting to collect a debt which was outside of the statute of limitations. There was so attempt to contact me with updated contact information. The Law office claimed to have served me or a person at another residence and filed a lawsuit against me even though I was personally not contacted. The law office started to garnish my wages11 years after the account was closed. No additional attempts were made to contact me at my residence. There had not been any garnishment attempts made prior to this. Mark Johnson LLC has not provided me with written documentation of verification of debt, name, address of original creditor, statements, previous payments, or account information."
83540,Payday loan,"Received a loan from Mobiloans. They were deceitful in their monthly payment schedule. They have been withdrawing more money from my checking account than I agreed to. Yet when I look at the payment history it does n't reflect the entire payment. Their practices are extremely deceitful and the "" language '' is written in a way that seems legitimate, understandable and upfront. However, they 've never provided a truth in lending disclosure as promised when I applied and I do not have one in "" my account information. '' What they offered when I applied is NOT what is being followed. I 've contacted them and they are NOT willing to assist. I have copies of my payments and the amount they 've deducted from my bank account. Willing to submit them as necessary. For example, they deducted {$220.00} from my checking acct on XX/XX/2016. However, they only posted a payment of {$110.00}. Where 's the additional money applied they deducted from my bank account."
89968,Bank account or service,"Hi, I opened a checking & savings account at "" Spark Business Bank Account online '' ( a new service from Capital One Bank, it 's a business account that can be opened online, but the downside is you can not deposit cash or withdraw cash from this account, you can only withdraw cash from ATM XXXX for my newly formed corporation "" XXXX XXXX XXXX XXXX XXXX '' and I began using the account and everything was good. One day I log in to my account, I wanted to transfer funds from my checking account to the savings account, because even though at the time I opened the account I opened a checking and saving, they only allowed XXXX XXXX checks to the checking account, so after it posts I transfer it to the savings account to accrue interest. So back to three weeks ago I logged into to transfer money from my checking to saving, and it came up a error message that I need to call in. At first the representative asked me XXXX questions to make sure I 'm not using someone else 's identity, and even though they knew I was n't and I was fully verified, they figured that now that my account has approx. {$20000.00} it 's the perfect time to put a hold in order to make me miserable, and going through such aggravations that I was very close to a XXXX XXXX. The rep tells me "" We decided to close your account since the {$10000.00} check you deposited was not good '' First I asked for an explanation what not good means, and I was not given XXXX, all she said is "" I also does n't know but this is what I see in the notes, and there 's nothing more I can do for you!! "". So I 'm basically now in a position where Capital One Bank has close to {$20000.00} of my money, and I 'm not being given a reason why, and they tell me they do n't have an answer for me what 's to be done next. The next day I call again, and I guess a representative with a little more feeling for another Human Being felt the pain I 'm going through, and she told me the reason is ( from what she can see in the notes ) is that Capital One has a feeling the XXXX check was either stolen or will be returned. I instantly called the company that issued me the check and explained everything I 'm going through, and unlike Capital One Bank that seek to make your life miserable, provided me with a copy of the check that it was cleared, along with a copy from his bank statements showing that the check was out. And I myself saw in back on the check that Capital One accepted the check and they have the funds. I instantly emailed it to Capital One, but as expected no response. So I called again for the next week every day several time, every time I was told I 'm being transferred to the fraud department, and after waiting 20 minutes I was told "" OH SORRY THEY TRANSFERRED YOU TO THE WRONG FRAUD DEPARTMENT '' and I was further transferred to a voice mail, I left XXXX of messages begging for a call back and offered everything in the world. I asked specifically XXXX times if I can go into a Branch, and not even XXXX phone call ws returned!!!! 

Bottom line, I opened an account, once I had close to {$20000.00} Capital One decided "" now is a good time to hold the funds, so we might pass the stress test '' and I was accused of not being XXXX XXXX, I was accused of depositing a stolen check, I was not given the opportunity to prove myself, and not even to prove myself in persona. 

I therefore ask CFPB to help me with this, so I should n't have to spend way ore on a lawyer to take Criminal Action against them, because if I do n't do it, then there 'll be thousands of people with money stuck in these accounts. 

Thanks XXXXXXXXXXXX"
180992,Debt collection,"A debt collector, Penncredit, continues to call my home telephone number regarding a debt that I do not own. They claim the debt is for my father, who has never lived at my home. I have stated that they have the wrong phone number and they continue to call my house all throughout the day, everyday."
454577,Consumer Loan,"I purchased a Honda Accord in 2012 at the Honda of XXXX in Ohio. I was sent an advertisement for a XXXX percent interest rate and thought I 'd take advantage of the opportunity. Once I arrived at the dealership and consulted with XXXX XXXX, she informed me that not only did I not qualify for the XXXX percent interest rate but I also had the option of only XXXX car at a higher interest rate, around five percent. I thought this was odd because my credit score was XXXX at the time but with her pushy tactics, I felt forced into the deal. She told me that I did not qualify for the XXXX percent rate but there was another program I qualified for that included higher rates. Last year, I went to another dealership, Honda of XXXX in Ohio, to trade my car in and I was told about restrictions against a trade-in deal. I found out that the Honda of XXXX dealership overcharged me for the car and I was responsible for excess charges. The salesman at the Honda of XXXX also informed me that Honda of XXXX was known for schemes such as the one I am now entangled in. With the recent lawsuit filed against Honda concerning discrimination, my situation aligns with the trouble I have been and still am experiencing. It was as if Honda drew me in just to take advantage of me. I am a middle aged black man."
142333,Mortgage,"Sierra Pacific Mortgage refuses to adjust our loan payment to reflect actual taxes assessed. We have faxed their Escrow Department XXXX now with Tax information and they continue to ignore their mistake. 
They are projecting XXXX tax payments of {$2500.00}. The actual XXXX tax payment is {$1400.00}. 
This over payment is extremely burdensome on my family."
289499,Mortgage,"After literally years of trying to get Bank of America to send documentation as to why and how I am bound to their terms, I received an interesting document from Seterus whom Bank of America turned my loan over to. Now to be very clear, Bank of America did not provide this document to me even though I have been asking for it for years but here 's the most interesting part, it is a 'Assignment of Mortgage ' document dated XXXX/XXXX/2016. I hope everyone sees the issue here, they have for years not only been harassing me and collecting money and everything else, but very clearly they had not done what was proper and there 's still parts to it that are not proper but I still have n't put the pieces together with this. The fact is that Bank of America has grossly mis-handled my loan and I have another document that XXXX has provided which I believe to be forgery but first, I would like an explanation from Bank of America on this document and that explanation should include why BoA did not file this previously and also why was I not provided a copy from BoA??? One very notable part of this is that my loan was transferred to Countrywide so I still do not believe that this document is valid or relevant in any way. Another thing is that this document was never recorded which perhaps is a clear indication BoA knows there is a problem with this document. One more addition is that the 'note ' that XXXX sent does not match the original mortgage note that was recorded for the loan so again, there is A LOT of suspect material at this point!"
541223,Credit reporting,"This complaint is against Equifax for illegally reinserting negative information on my credit report. 

A couple of months ago, I started disputing some inaccurate pieces of information that were showing up on my Equifax file. One of these small details was related to a wrong reporting date on a XXXX credit card account that I felt should have been updated. 

The account number for the account is : XXXX Until recently, this account was reporting with a XXXX balance due on my credit report. After Equifax received my disputes, they started reporting a negative balance of {$1400.00} on my credit for no reason at all! For years, this account had been reporting as paid and settled with Equifax. 

Equifax has no right or reasoning to suddenly place a large balance on one of my settled accounts without any explanation. 

To facilitate the CFPB 's investigation, I am including screenshots from XXXX XX/XX/2016 credit reports that showed Equifax was reporting a "" XXXX '' balance on my XXXX account. I am also including a screenshot from a recent report which shows how Equifax has suddenly inserted the {$1400.00} balance. As you can see, a large balance was placed on my credit from one report to the next. This is wrong. 

I called XXXX to see if maybe the mistake was made by them but when I called, the supervisor said the debt was so old they do n't have any information on it! This is proof that there is no balance due on the account!"
40886,Student loan,"I receive a collection request from XXXX XXXX for National Collegiate Student Loan for the amount of {$15000.00}. I got a loan back in XXXX with XXXX XXXX XXXX for school not with the National Collegiate Student Trust. I was paying them through American Education Services but they were called something else before that and I ca n't remember that name but it originated with XXXX XXXX XXXX, they changed names several times. I was able to get my Bank which is XXXX XXXX XXXX to pull my payment history for AES but we were n't able to pull payment history for the other name ( before AES ) because XXXX XXXX XXXX can only go back as far as XXXX ( I have attached these payments ). I have been paying on it since XXXX and the loan never moved. I have never been late on a payment, so technically the loan should be paid in full by now. I did n't stop paying on the loan until I filed for bankruptcy. The National Collegiate Student Loan never appeared for the bankruptcy hearing to dispute discharging the loan. Now all of sudden my credit is being hit and I 'm sent to the collection agency for full payment of the loan. I tried in the past working something out with them but they would n't work with me they said I did n't have any deferments. I had twins which lead to me having to file bankruptcy because I was doing it all by myself. I ca n't afford this loan and I feel like they have and are still trying to rip me off. After my bankruptcy the federal government student loan worked out an affordable plan with me and has also forgiven a large portion of my student loan and they have been very helpful. However, the private student loan that is n't federally backed is very difficult and is trying to make me pay a loan for the rest of my life that has technically already been paid off."
411935,Credit card,"For the second time in a whole I had my HSBC Mastercard cloned and the bank is going to replace the card. The problem I see is that for verification purposes, they ask ton of questions but for the people who used the card more than once, they ask no question. They should improve the card security questions to avoid fraud over and over. Then you call to request a dispute, and they want you to give them specific information from last statement with amount and date. I do n't even print statements nowadays to save paper, and the Call Center wants you to tell them by the cent."
290198,Mortgage,"I refinanced my mortgage with BB & T in XXXX. Previously my mortgage was held by XXXX XXXX XXXX. Yearly, XXXX XXXX XXXX would send a threatening letter telling me that I had to increase my flood insurance to match the coverage of my homeowners/windstorm insurance. Initially, I did increase it, but a class action filed against XXXX XXXX XXXX resulted in the bank changing its practices. In subsequent years after the suit, XXXX XXXX XXXX would send me a waiver to acknowledge the discrepancy, which I would sign and return. 

I have lived in my home since XXXX, XXXX : 44 years, 4 months and I have NEVER filed a flood claim. I survived XXXX and other catastrophic storms. Not once have I had damage to my home due to rising water flooding. This is the only type of flooding covered by the Florida flood insurance policies. I live in a flood zone, but my home is on a ridge in that zone. In XXXX, I paid for an elevation certificate to prove my elevation. Due to this certificate, my flood insurance dropped drastically from over {$1000.00} to somewhere around {$300.00}, yearly. The point of this explanation is the only way I will have rising water flooding is in the event of massive storm surge due to a hurricane. In which case I would file claims with both my homeowners/windstorm and the flood insurances. This year there is almost XXXX of insurance coverage to protect my home. ( {$190000.00} of homeowners /windstorm coverage and the proposed {$170000.00} of flood insurance coverage ) The current balance on my mortgage is {$130000.00} Last week I received a letter from BB & T stating that my flood insurance does not match my home owners/windstorm coverage and that if I do not increase the flood insurance, they will force place a policy in the amount {$21000.00}, at their expense ( the difference between the XXXX policy coverages ). I called BB & T XXXX XXXX, XXXX and requested to speak with a supervisor. The young lady I spoke with assured me she would be able to assist me with the issue, but after the above explanation, she said I would have to increase my flood insurance coverage or the force placement would go into effect. I asked to speak with a supervisor. She said the answer would be the same, I insisted, and she said a supervisor was not available, nor was a senior advisor and I would have to wait until XXXX XXXX for a return call. 

I did receive a phone call from XXXX XXXX ( I believe she is a senior advisor in the insurance department ) at BB & T at around XXXX XXXX. today, XXXX XXXX, XXXX. I repeated the problem detailed above. She did say the requirement for the homeowners /wind storm insurance was that I only had to have enough insurance to cover the amount of the loan. If I wanted to decrease the amount of homeowners/windstorm insurance to equal the amount of flood insurance that would be acceptable, but the XXXX coverages did have to match. I still have not been able to speak with a supervisor. I asked to speak with someone higher up in the company that would be able to give me a waiver. She told me no one has the authority to give waivers as they do not give waivers. Another compromise XXXX XXXX XXXX suggested was that if I could get the flood insurance company to state, on the declaration page, that the {$170000.00} was the replacement cost of the home and to provide the elevation, BB & T would accept that documentation and they would not force place the additional flood insurance. Neither of these suggestions make sense to me. 

I will include the following : The letter from BB & T, my current declaration pages from both insurance policies, the elevation certificate, the proposed XXXX flood coverage, and the flood zone map showing my property. 

I am selecting the "" making payments '' category below but none of the categories really fit my issue."
566528,Mortgage,"PAYOFF ISSUE : Last Thursday, XXXX, XXXX, 2015 at approximately XXXX XXXX I contacted my mortgage holder Green tree, soon to be XXXX, and requested my payoff in writing on their letterhead to be faxed to a number I provided and attach an E-copy to my account online.. I made this request verbally and again later by E-message through their website. I told them I needed by Tuesday the XXXX to close on the sale of my property. The representative told me I would it have by then. I called back Saturday verified with representative it was in process. By Tuesday the XXXX, I had not received the payoff in writing. I called XXXX who informed me it was taking longer to process. I then spoke to a leader named XXXX XXXX # XXXX who continued to tell me it was in process but could n't commit to when I would have it. This is stopping the sale of my home, the buyer may back out. This an urgent issue. I rescheduled closing for this Friday, but title company must have payoff in writing by Thursday the XXXX."
311719,Bank account or service,"Complaint is for Capital One Bank, I have my personal & Business Accounts with Capital One. They are charging me fees that I should not be charged. My First issue my debit card is being charged by playstation games and apple itunes they are charging me the fees per transaction. I have not allowed anyone to charge my card with these companies. I have disputed them in the bank they still refuse and decline my dispute. I have called the company that has been charging and capital one on conference call the company has told capital one that they do n't have my information and they do n't know how my card has been charged and the correct way would be to dispute the transaction and they company will reimburse. Capital one has still declined and denied my dispute. I have lost a lot of money in the year with all these charges. I have requested to speak to District Manger a lady at the branch names XXXX XXXX has refused to get escalated to the District Manager XXXX XXXX indicating he has no access to the banking information. I have sen many letter and requests to get a hold of someone to resolve this matter, but no success. 

My Second issue is that in the Business account they are charging fees and tI have set my Saving Account as an overdraft protection to the account. I ask them why are you charging me they are giving me explanations reasons that are incorrect even though they see I am correct."
507580,Credit reporting,"XXXX XXXX XXXX has reported to the credit bureaus I was late 120-180 days mortgage payments for each month in XXXX XXXX. Contacted them and they asked for bank records that dispute their reporting. I provided it XXXX/XXXX/XXXX and they responded that they were not going to change their reported although the bank records indicated I was on time and actually a month ahead by mid XXXX. They suggested we take it up with the credit agencies. This has not only impacted my credit score buy my ability to secure another home. Currently trying to contact TransUnion, XXXX, and XXXX to mitigate the negative situation. Numerous attempts with XXXX failed to achieve any resolution. Will never do business with them again."
